,Website,Email,Contact
0,http://www.tfamericasflorist.com,americasflorist@gmail.com,tel:(800) 872-3837
1,http://www.secretgardenflowersandgifts.weebly.com,sgflowergifts@aol.com,tel:(207) 272-8407
2,http://www.tfamericasflorist.com,americasflorist@gmail.com,tel:(800) 872-3837
3,,,tel:(800) 997-7114
4,http://www.justflowers.com/ypcom-list/flowers/index.html?se=1,,tel:(888) 217-5844
5,https://www.1800flowers.com/?r=ypcpcfy15,,
6,http://www.americasflorist.com,service@americasflorist.com,tel:(732) 469-7673
7,,,tel:(877) 217-2337
8,http://www.littlefieldsflowersgifts.com,,tel:(207) 743-6301
9,,,tel:(207) 256-0691
10,https://poppiesandtwine.com,,tel:(207) 747-2550
11,http://www.angelonesflowers.com/feature.asp?srccode=NYP,angelonesflowers@yahoo.com,tel:(888) 896-0717
12,,,tel:(207) 647-8441
13,http://marketbasket.com,,tel:(207) 583-6126
14,,,tel:(207) 883-1990
15,https://www.tfamericasflorist.com/businesscorporate-direct-ship-gift-baskets/de-410812,Calvin@tfamericasflorist.com,tel:(800) 872-3837
16,http://www.donnasgreenhouse.com,donnas993@aol.com,tel:(207) 926-3776
17,http://watkinsflowersme.com,watkinsflowers@fairpoint.net,tel:(207) 655-5459
18,https://twitter.com/youngsgh,info@theyoungsgreenhouse.com,tel:(207) 743-9427
19,http://www.tfamericasflorist.com,americasflorist@gmail.com,tel:(800) 872-3837
20,http://www.secretgardenflowersandgifts.weebly.com,sgflowergifts@aol.com,tel:(207) 272-8407
21,http://www.tfamericasflorist.com,americasflorist@gmail.com,tel:(800) 872-3837
22,,,tel:(800) 997-7114
23,http://www.justflowers.com/ypcom-list/flowers/index.html?se=1,,tel:(888) 217-5844
24,https://www.1800flowers.com/?r=ypcpcfy15,,
25,http://www.americasflorist.com,service@americasflorist.com,tel:(732) 469-7673
26,,,tel:(877) 217-2337
27,http://www.littlefieldsflowersgifts.com,,tel:(207) 743-6301
28,,,tel:(207) 256-0691
29,https://poppiesandtwine.com,,tel:(207) 747-2550
30,http://www.angelonesflowers.com/feature.asp?srccode=NYP,angelonesflowers@yahoo.com,tel:(888) 896-0717
31,,,tel:(207) 647-8441
32,http://marketbasket.com,,tel:(207) 583-6126
33,,,tel:(207) 883-1990
34,https://www.tfamericasflorist.com/businesscorporate-direct-ship-gift-baskets/de-410812,Calvin@tfamericasflorist.com,tel:(800) 872-3837
35,http://www.donnasgreenhouse.com,donnas993@aol.com,tel:(207) 926-3776
36,http://watkinsflowersme.com,watkinsflowers@fairpoint.net,tel:(207) 655-5459
37,https://twitter.com/youngsgh,info@theyoungsgreenhouse.com,tel:(207) 743-9427
